x:  computed_derivativen = 1000runtime: 8.3e-05
0.310689   0.64458
0.311688   0.644025
0.312687   0.643467
0.313686   0.642904
0.314685   0.642336
0.315684   0.641765
0.316683   0.641189
0.317682   0.640609
0.318681   0.640025
0.31968   0.639436
0.320679   0.638844
0.321678   0.638247
0.322677   0.637647
0.323676   0.637042
0.324675   0.636434
0.325674   0.635822
0.326673   0.635205
0.327672   0.634586
0.328671   0.633962
0.32967   0.633334
0.330669   0.632703
0.331668   0.632069
0.332667   0.63143
0.333666   0.630788
0.334665   0.630143
0.335664   0.629494
0.336663   0.628841
0.337662   0.628185
0.338661   0.627526
0.33966   0.626863
0.340659   0.626197
0.341658   0.625528
0.342657   0.624855
0.343656   0.624179
0.344655   0.6235
0.345654   0.622818
0.346653   0.622132
0.347652   0.621444
0.348651   0.620752
0.34965   0.620057
0.350649   0.619359
0.351648   0.618659
0.352647   0.617955
0.353646   0.617248
0.354645   0.616539
0.355644   0.615827
0.356643   0.615111
0.357642   0.614393
0.358641   0.613672
0.35964   0.612949
0.360639   0.612222
0.361638   0.611493
0.362637   0.610762
0.363636   0.610027
0.364635   0.60929
0.365634   0.60855
0.366633   0.607808
0.367632   0.607063
0.368631   0.606316
0.36963   0.605566
0.370629   0.604814
0.371628   0.604059
0.372627   0.603302
0.373626   0.602543
0.374625   0.601781
0.375624   0.601016
0.376623   0.60025
0.377622   0.599481
0.378621   0.59871
0.37962   0.597936
0.380619   0.59716
0.381618   0.596382
0.382617   0.595602
0.383616   0.59482
0.384615   0.594035
0.385614   0.593249
0.386613   0.59246
0.387612   0.591669
0.388611   0.590876
0.38961   0.590081
0.390609   0.589285
0.391608   0.588486
0.392607   0.587685
0.393606   0.586882
0.394605   0.586077
0.395604   0.58527
0.396603   0.584461
0.397602   0.583651
0.398601   0.582838
0.3996   0.582024
0.400599   0.581208
0.401598   0.58039
0.402597   0.57957
0.403596   0.578748
0.404595   0.577925
0.405594   0.5771
0.406593   0.576273
0.407592   0.575445
0.408591   0.574615
0.40959   0.573783
0.410589   0.572949
0.411588   0.572114
0.412587   0.571277
0.413586   0.570439
0.414585   0.569599
0.415584   0.568757
0.416583   0.567914
0.417582   0.567069
0.418581   0.566223
0.41958   0.565375
0.420579   0.564526
0.421578   0.563675
0.422577   0.562823
0.423576   0.561969
0.424575   0.561114
0.425574   0.560258
0.426573   0.5594
0.427572   0.55854
0.428571   0.55768
0.42957   0.556817
0.430569   0.555954
0.431568   0.555089
0.432567   0.554223
0.433566   0.553355
0.434565   0.552487
0.435564   0.551617
0.436563   0.550745
0.437562   0.549873
0.438561   0.548999
0.43956   0.548124
0.440559   0.547247
0.441558   0.54637
0.442557   0.545491
0.443556   0.544611
0.444555   0.54373
0.445554   0.542847
0.446553   0.541964
0.447552   0.541079
0.448551   0.540193
0.44955   0.539306
0.450549   0.538418
0.451548   0.537529
0.452547   0.536639
0.453546   0.535748
0.454545   0.534855
0.455544   0.533962
0.456543   0.533067
0.457542   0.532172
0.458541   0.531275
0.45954   0.530378
0.460539   0.529479
0.461538   0.52858
0.462537   0.527679
0.463536   0.526778
0.464535   0.525875
0.465534   0.524972
0.466533   0.524067
0.467532   0.523162
0.468531   0.522256
0.46953   0.521348
0.470529   0.52044
0.471528   0.519531
0.472527   0.518621
0.473526   0.517711
0.474525   0.516799
0.475524   0.515886
0.476523   0.514973
0.477522   0.514059
0.478521   0.513144
0.47952   0.512228
0.480519   0.511311
0.481518   0.510393
0.482517   0.509475
0.483516   0.508556
0.484515   0.507636
0.485514   0.506715
0.486513   0.505794
0.487512   0.504871
0.488511   0.503948
0.48951   0.503024
0.490509   0.5021
0.491508   0.501175
0.492507   0.500249
0.493506   0.499322
0.494505   0.498394
0.495504   0.497466
0.496503   0.496537
0.497502   0.495608
0.498501   0.494677
0.4995   0.493746
